"","SampleID","coral_tag","SampleType","field_season","Coral_Species","site","Status","ref","before.after","annotator","date_annotated","colony_width1","colony_width2","colony_area","binary_tissue_loss","binary_disease","cyanobacteria_contact","binary_algal_contact","turf_contact","binary_macroalgae_contact","type_of_macroalgae","binary_CCA_contact","sediment_contact","binary_coral_contact","binary_bleaching","bleaching_proportion","notes_bleaching","notes","Year_Pre_Post","Sample.Name","File.Name","C.CT.mean","D.CT.mean","PaxC.CT.mean","C.CT.sd","D.CT.sd","PaxC.CT.sd","C.reps","D.reps","PaxC.reps","C.PaxC","D.PaxC","fail","S.H","Sample.Num","Pre.Post","dom","S.H.log","C.PaxC.log","D.PaxC.log","CtoD","S.H.log10","C.PaxC.log10","D.PaxC.log10","bleaching2Plus"
"10","KI15cFSYM372","62","coral","KI2015c","Platygyra_sp","8","alive","KI2015c.tag62","during","HD","7/10/2015","25.475","24.216","514.923","y","y","n","y","y","n","NONE","y","n","y","y","2","Large patches (harder to tell because of shadow)","","KI2015c","KI15cFMD372","KIPlaty_plate11_data.txt",32.6015,27.17035,18.23485,1.01455680964646,0.307662160494266,0.513713076532025,2,2,2,1.14355840606341e-05,0.00246699015261462,FALSE,0.00247842573667526,372,NA,"D",-6.00013170396435,-11.3734539621047,-6.00473167594942,1.89408196333876,-2.60582408972447,-4.93942829592275,-2.6078218321745,"2"
"11","KI16aFSYM001","62","coral","KI2016a","Platygyra_sp","8","alive","KI2016a.tag62","after","HD","24-06-2016","33.62","32.466","847.208","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","top of coral bleaching; DC edited 2 to NONE","","KI2016a","KI16aFMD001","KIPlaty_plate13_data.txt",29.2292,23.2145,17.7676,0.0601040764008571,0.115258405333407,0.00141421356237231,2,2,2,8.56575285256849e-05,0.0276911287453237,FALSE,0.0277767862738494,1,NA,"D",-3.58355463323458,-9.36444066262334,-3.58664097335826,2.61092223397403,-1.55631800281261,-4.06692490588775,-1.5576583832976,"FALSE"
"14","KI15bFSYM023","99","coral","KI2015b","Platygyra_sp","35","alive","KI2015b.tag99","before","HD","5/8/2016","19.694","18.238","292.203","n","n","n","y","y","n","NONE","y","y","y","n","FALSE","","","KI2015b","KI15bFMD023","KIPlaty_plate0_data.txt",23.91065,34.8926,19.02305,0.04942676400494,NA,0.119430335342408,2,1,2,0.00816087509817942,0,FALSE,0.00816087509817942,23,NA,"C",-4.80840387333223,-4.80839638931358,-16.6111407886174,0.289468161789856,-2.08826326895041,-2.08826001868241,-7.21412678261458,"FALSE"
"15","KI15cFSYM018","99","coral","KI2015c","Platygyra_sp","35","alive","KI2015c.tag99","during","HD","2/11/2015","15.334","14.777","177.033","n","y","n","y","y","n","NONE","y","n","y","y","3","One large patch; DC edited 2 to 3","","KI2015c","KI15cFMD018","KIPlaty_plate0_data.txt",27.4158,34.8467,18.08375,0.16291740238538,NA,0.966685680560127,2,1,2,0.000374821044721822,0,FALSE,0.000374821044721822,18,NA,"C",-7.88906185997188,-7.88889892516536,-16.6111407886174,0.474916143662519,-3.42617603317919,-3.42610527149181,-7.21412678261458,"3"
"16","KI16aFSYM049","99","coral","KI2016a","Platygyra_sp","35","alive","KI2016a.tag99","after","HD","12/7/2016","21.339","20.661","332.947","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","large areas bleached; DC edited 2 to NONE","","KI2016a","KI16aFMD049","KIPlaty_plate0_data.txt",34.60955,25.42795,19.387,5.720988834546,0.125511453660611,0.314521096271777,2,2,2,6.31839506756689e-06,0.018344834154207,FALSE,0.0183511525492746,49,NA,"D",-3.9980628972292,-11.9624253108159,-3.99840393225269,2.99180010661812,-1.73633665456877,-5.19521530266714,-1.73648476419761,"FALSE"
"19","KI15cFSYM161","157","coral","KI2015c","Platygyra_sp","3","UK","KI2015c.tag157","during","HD","1/10/2015","18.832","17.49","278.21","n","n","n","y","y","n","NONE","y","n","y","y","FALSE","Most of coral bleached but not very white; DC edited 3 to 1","","KI2015c","KI15cFMD161","KIPlaty_plate11_data.txt",24.73655,30.3365,19.17225,0.0444770165366332,0.227688383542068,0.725138004106803,2,2,2,0.00510539951735367,0.000526316291260669,FALSE,0.00563171580861433,161,NA,"C",-5.17934112151774,-5.27744460739556,-7.54949217350005,0.699046304852166,-2.24935926896976,-2.29196507154196,-3.27870279212286,"FALSE"
"31","KI15cFSYM171","223","coral","KI2015c","Platygyra_sp","3","UK","KI2015c.tag223","during","JL","20-11-2015","29.02","28.088","594.321","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","coral is lighter in colour, a few small bleached spots ","","KI2015c","KI15cFMD171","KIPlaty_plate11_data.txt",24.8614,NA,16.6087,0.076084689655671,NA,0.0960251008851329,2,0,2,0.000792028287193294,0,FALSE,0.000792028287193294,171,NA,"C",-7.14091345063451,-7.14083633973305,-16.6111407886174,0.429882356100805,-3.10125930735928,-3.10122581852028,-7.21412678261458,"FALSE"
"35","KI15cFSYM180","234","coral","KI2015c","Platygyra_sp","3","UK","KI2015c.tag234","during","JL","20-11-2015","27.031","22.458","456.68","n","n","n","y ","y","n","NONE","y","n","y","y","2","~50% severely bleached, other areas have light bleaching","","KI2015c","KI15cFMD180","KIPlaty_plate13_data.txt",25.614,NA,18.2782,0.521703383159435,NA,0.173806846815653,2,0,2,0.00149539214710602,0,FALSE,0.00149539214710602,180,NA,"C",-6.50536680077909,-6.50532595856732,-16.6111407886174,0.39162427441618,-2.82524490433497,-2.82522716678777,-7.21412678261458,"2"
"42","KI15bFSYM164","253","coral","KI2015b","Platygyra_sp","8","gone","KI2015b.tag253","before","JM","1/6/2016","20.013","16.514","187.261","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","few small patches bleached","","KI2015b","KI15bFQ164","KIPlaty_plate6_data.txt",23.57585,NA,17.3018,0.0774281925399274,NA,0.0362038671967523,2,0,2,0.0031215744225755,0,FALSE,0.0031215744225755,164,NA,"C",-5.76941778181957,-5.76939821612475,-16.6111407886174,0.347321011214242,-2.50562630643874,-2.50561780916545,-7.21412678261458,"FALSE"
"43","KI15cFSYM365","253","coral","KI2015c","Platygyra_sp","8","gone","KI2015c.tag253","during","HD","21-09-2015","27.708","21.005","374.508","y","y","n","y","y","n","NONE","y","n","y","y","FALSE","Small very white spots","","KI2015c","KI15cFMD365","KIPlaty_plate3_data.txt",22.9602,37.07945,18.74645,0.470508852201527,0.791181777469626,0.260851691579717,2,2,2,0.0130192448161991,3.65795224730471e-06,FALSE,0.0130229027684464,365,NA,"C",-4.34104572016539,-4.34132195448538,-12.5020480481586,0.347248861767477,-1.88529220195756,-1.88541216899844,-5.42957047980459,"FALSE"
